カード名,型番,画像ファイル名,フレーバー
緑神龍ガミラタール,DM18 48/140,352_018_01_緑神龍ガミラタール.jpg,火文明の地に誤って生まれた緑神龍は、生まれた瞬間、絶望を味わい、そして出会いによって救われた。
オーラ・ブラスター,DM18 50/140,352_020_01_オーラ・ブラスター.jpg,聞け!偉大なる大地のとどろきを!
希望の使徒トール,DM18 52/140,352_022_01_希望の使徒トール.jpg,希望の使徒よ、我等が敵を圧倒せよ。闇を照らす光の如く。
追跡の使徒ローク,DM18 53/140,352_023_01_追跡の使徒ローク.jpg,追跡の使徒よ、覚醒せよ。汝の言葉は光の槍なり。
大気の使徒フレイ,DM18 54/140,352_024_01_大気の使徒フレイ.jpg,大気の使徒よ、覚醒せよ。汝の指は聖なる剣なり。
時空の守護者ジル・ワーカ,DM18 56/140,352_026_01_時空の守護者ジル・ワーカ.jpg,死して動く、その捕獲機は全ての戦闘で有効であった。
ダイヤモンド・カッター,DM18 57/140,352_027_01_ダイヤモンド・カッター.jpg,この光の刃だけが希望だった時代がある。そして他の希望が生まれたとしても、その刃の光は未だに輝き続ける。
レーザー・ウィップ,DM18 58/140,352_028_01_レーザー・ウィップ.jpg,光は全てを律する。
キング・ボニータス,DM18 59/140,352_029_01_キング・ボニータス.jpg,通り過ぎるのを待っていたら、すべてを失うことになる。
フェアリー・チャイルド,DM18 61/140,352_031_01_フェアリー・チャイルド.jpg,小さな小さな光の群れ。その全てを防ぐことは不可能だ。
アクア・ソルジャー,DM18 62/140,352_032_01_アクア・ソルジャー.jpg,「もやし野郎のくせに、根性だけはたいしたもんだ。」---喧嘩屋タイラー
キング・クラーケン,DM18 63/140,352_033_01_キング・クラーケン.jpg,リヴァイアサンは長い長い時間をかけて成長し、やがて世界で最も大きな生物となる。
ショック・ハリケーン,DM18 64/140,352_034_01_ショック・ハリケーン.jpg,巻き込んだ物の数だけ嵐は大きくなる。
ネオ・ブレイン,DM18 65/140,352_035_01_ネオ・ブレイン.jpg,未来を掴みとれ！
ミスティック・クリエーション,DM18 66/140,352_036_01_ミスティック・クリエーション.jpg,運命の理にまで干渉する力は、まさに恐縮。
墓堀怪人アシッドフィスト,DM18 69/140,352_039_01_墓堀怪人アシッドフィスト.jpg,爪に備わる猛毒は、小さな傷でも命を奪う。
凶食虫スティンガーワーム,DM18 71/140,352_041_01_凶食虫スティンガーワーム.jpg,ワームは死体を操って、次の死体を作り出す。
捕らえる者ボーン・スパイダー,DM18 72/140,352_042_01_捕らえる者ボーン・スパイダー.jpg,彼らは永久にだって待つことができる。死ぬ時はひとりじゃないことを知っているから。
暗闇に潜む者バット・ドクター,DM18 73/140,352_043_01_暗闇に潜む者バット・ドクター.jpg,「俺の命をやるよ」 ---暗闇に潜む者バット・ドクター
切断伯爵ムラマサ,DM18 76/140,352_046_01_切断伯爵ムラマサ.jpg,「腐った魂を浄化してやる！くらえ、必殺・絶対真空一文字切りぃぃぃ!!!」 ---切断伯爵ムラマサ
ガザリアス・ドラゴン,DM18 77/140,352_047_01_ガザリアス・ドラゴン.jpg,奥深き地で轟いた同胞の断末魔、そこから全てが始まった。
超砲手ボルカノドン,DM18 78/140,352_048_01_超砲手ボルカノドン.jpg,城壁すらも意味がない。一撃で何も残らない。
強襲兵ギガントス,DM18 79/140,352_049_01_強襲兵ギガントス.jpg,最も早く前線に出る者が、最も早く敵を倒すことができる。
騎兵総長キュラトプス,DM18 80/140,352_050_01_騎兵総長キュラトプス.jpg,騎兵たちは、全速で戦場を駆け抜ける。戦いの始まりを報告するために。
ピコット・ミサイル,DM18 81/140,353_001_01_ピコット・ミサイル.jpg,増えすぎだ！
サイクロン・パニック,DM18 82/140,353_002_01_サイクロン・パニック.jpg,「未来は廻る」 ---放浪の勇者ジージョ
大勇者「大地の猛攻」,DM18 83/140,353_003_01_大勇者「大地の猛攻」.jpg,怒号と共に振り下ろされた豪腕、その早さと強さで自然文明は力と誇りを取り返した。
激闘するフェザー・ホーン,DM18 84/140,353_004_01_激闘するフェザー・ホーン.jpg,綺麗な羽は彼らの心を鎮める御守り。だが、闇の行為への怒りははるかにそれを上回った。
樹界を守るパラダイス・ホーン,DM18 85/140,353_005_01_樹界を守るパラダイス・ホーン.jpg,その震動に樹木と鳥達が歓喜のダンスを踊る。
怪力の化身(マイティ・トーテム),DM18 86/140,353_006_01_怪力の化身.jpg,「三龍の矢は、ワシが全部砕くずら！」 ---怪力の化身
ブルーレイザー・ビートル,DM18 87/140,353_007_01_ブルーレイザー・ビートル.jpg,全身に備わる鋭利な刃のため、同族ですら離れて暮らす。
ガイアズ・ソング,DM18 90/140,353_010_01_ガイアズ・ソング.jpg,大地から生まれた者は必ず大地へと還る。
磁力の使徒マグリス,DM18 91/140,353_011_01_磁力の使徒マグリス.jpg,磁力の使徒よ覚醒せよ。汝の翼は意志の鎖なり。
宣凶師キンゼラ,DM18 92/140,353_012_01_宣凶師キンゼラ.jpg,現れたキンゼラの威容に、人々はただただ驚くのみだった。
晴天の守護者レゾ・パコス,DM18 93/140,353_013_01_晴天の守護者レゾ・パコス.jpg,大いなる異変を察知して、まず守護者たちが変化に対応した。
雷光の使徒ミール,DM18 94/140,353_014_01_雷光の使徒ミール.jpg,雷光の使徒よ、我等が敵を迎撃せよ。闇を切り裂く刃の如く。
鎮圧の使徒サリエス,DM18 95/140,353_015_01_鎮圧の使徒サリエス.jpg,盾に求められるのは強固にして揺るがぬ事なり。
電磁の使徒バルアス,DM18 96/140,353_016_01_電磁の使徒バルアス.jpg,長き戦いの末、光の軍勢は炎熱の部族を撤退させた。
予言者ジェス,DM18 97/140,353_017_01_予言者ジェス.jpg,予言者に刻まれた霊紋から、天使は未来を感じ取る。
ホーリー・メール,DM18 98/140,353_018_01_ホーリー・メール.jpg,危機は去った。ただ回復せよ。
シザー・アイ,DM18 101/140,353_021_01_シザー・アイ.jpg,火の領域の海岸線は、上陸した水の軍勢で真っ青に染まった。
アクア・シューター,DM18 102/140,353_022_01_アクア・シューター.jpg,リキッド・ピープルはプログラムによりその能力を変える。
セティボルス,DM18 104/140,353_024_01_セティボルス.jpg,ちぎれた足からまた生まれる。
マドリオン・フィッシュ,DM18 106/140,353_026_01_マドリオン・フィッシュ.jpg,特殊監視機構始動。
ゼピメテウス,DM18 108/140,353_028_01_ゼピメテウス.jpg,あいつの体、俺の歌よりビリビリしてやがる！ ---爆炎野郎ジョー
リキッド・スコープ,DM18 109/140,353_029_01_リキッド・スコープ.jpg,見られたら、おしまいなんだよ！
ウェーブ・ランス,DM18 110/140,353_030_01_ウェーブ・ランス.jpg,空の王者も海には勝てぬ。
烈裂虫テンタクル・ワーム,DM18 111/140,353_031_01_烈裂虫テンタクル・ワーム.jpg,森の地中深くでは、災厄の芽がのたうちながら増殖を続けている。
卵胞虫ゼリー・ワーム,DM18 112/140,353_032_01_卵胞虫ゼリー・ワーム.jpg,そのワームは恐怖を伝染させる。
嘆きの影ベルベットフロー,DM18 113/140,353_033_01_嘆きの影ベルベットフロー.jpg,彼らは痛みから逃げるように走り続ける。そして・・・。
凶犬人形ジュンカツ,DM18 115/140,353_035_01_凶犬人形ジュンカツ.jpg,自然の民に破れた屈辱が、覇王ブラック・モナークに、新たな呪いの種をもたらす人形を作製させた。
さまよう者ブレイン・イーター,DM18 116/140,353_036_01_さまよう者ブレイン・イーター.jpg,彼らは血をすすり、肉をむさぼり喰うことだけを知っている。
孤独の影ロンリー・ウォーカー,DM18 117/140,353_037_01_孤独の影ロンリー・ウォーカー.jpg,光無き所に影無く、味方無き所に彼無し。
デス・スモーク,DM18 118/140,353_038_01_デス・スモーク.jpg,止まったら駄目だってばさ。
掃討兵バーニング・ヘル,DM18 121/140,353_041_01_掃討兵バーニング・ヘル.jpg,最も遅くまで前線に残る者が、最も多く敵を倒すことができる。
爆炎野郎ジョー,DM18 122/140,353_042_01_爆炎野郎ジョー.jpg,「どんな奴もおれの声を聞いただけでまいっちまうのさ。」 ---爆炎野郎ジョー
解体屋ピーカプ,DM18 123/140,353_043_01_解体屋ピーカプ.jpg,通り過ぎた後には鉄くずすら残らない。
不死身男爵ボーグ,DM18 124/140,353_044_01_不死身男爵ボーグ.jpg,「何でも話せる相棒に出会えたことを心から感謝しているさ。」 ---小さな勇者ゲット
喧嘩屋タイラー,DM18 125/140,353_045_01_喧嘩屋タイラー.jpg,「やめときな。怪我するぜ。」 ---喧嘩屋タイラー
クック・ポロン,DM18 126/140,353_046_01_クック・ポロン.jpg,その小さい身体に隠された力に誰もが驚愕し、誰もがやられるがままになっていた。
双神兵カミカゼ,DM18 127/140,353_047_01_双神兵カミカゼ.jpg,ウインウインウイィィィィン。
幻竜砲,DM18 129/140,353_049_01_幻竜砲.jpg,ハズレ！
アンブッシュ・スコーピオン,DM18 131/140,354_001_01_アンブッシュ・スコーピオン.jpg,最後の声は、復讐の誓い。
ウィップ・スコーピオン,DM18 132/140,354_002_01_ウィップ・スコーピオン.jpg,静寂に満ちた森林は、こいつが飛び出す絶好の場所。
白銀の牙,DM18 133/140,354_003_01_白銀の牙.jpg,世界樹がもたらす超重力に耐えるために、ビーストフォークたちはおどろくべき筋力をそなえている。
ソード・バタフライ,DM18 134/140,354_004_01_ソード・バタフライ.jpg,その鱗粉を吸うとホーン・ビーストさえ眠る。
鋼鉄の鎚(アイアン・ハンマー),DM18 137/140,354_007_01_鋼鉄の鎚.jpg,「おれ、でかい。おれ、強い。おれ、殴る。」---猪族の戦士アイアン・ハンマー
炎のたてがみ(バーニング・ヘアー),DM18 138/140,354_008_01_炎のたてがみ.jpg,彼等の前で自然を汚してはならない。その理由が知りたければ、一度試してみればいい。ただし、やるなら一人の時にやってくれ。
アルティメット・フォース,DM18 139/140,354_009_01_アルティメット・フォース.jpg,杖を一振りすると、地面に埋めたばかりの種は瞬く間に大樹へと成長した。
クリスタル・ジャベリン,DMC27 S2/S5,354_012_01_クリスタル・ジャベリン.jpg,自らの死さえ、予想の範疇。反撃の仕掛けは万端だ。
ボルメテウス・ホワイト・ドラゴン,DMC27 S4/S5,354_014_01_ボルメテウス・ホワイト・ドラゴン.jpg,その輝く炎は希望の光。夢にまで見た、勝利がここに！
聖霊王アルカディアス,DMC27 1/55,354_016_01_聖霊王アルカディアス.jpg,跪き、ただ裁きを待て。もはやその邪な剣は閃かぬ。
アストラル・ネビューラ,DMC27 2/55,354_017_01_アストラル・ネビューラ.jpg,知識は問題の解決を手助けするが、度を越した知識はそれ自体が不幸を呼ぶ。
滑空男,DMC27 3/55,354_018_01_滑空男.jpg,フィオナの森よ、まだまだ滅べ！まだ滅べ！
疾風の守護者スール・ミース,DMC27 7/55,354_022_01_疾風の守護者スール・ミース.jpg,光と風は混じり合い、その力を際限無く増していく。
飛翔の精霊アリエス,DMC27 8/55,354_023_01_飛翔の精霊アリエス.jpg,これより、荒廃の巨王ジェノサイド討伐作戦を開始！ 全軍発進！
